word,phonetic,definition,translation,tag,context,collins,oxford,bnc,frq
intimately,'intimitli,"r in a close manner
r with great or especially intimate knowledge","adv. 亲切地, 亲密地, 个人性地",,The only people he could relate withintimately were his two children.,0,0,9642,9539
intolerable,in'tɒlәrәbl,a. incapable of being put up with,"a. 无法忍受的, 难耐的",,"Subsequently, however, a cessation of pa-rental love throughdeath, abandonment or chronic rejection, has the effect ofmaking the child's unrequited commitment an experience ofintolerable pain.",1,0,8495,12516
intravenous,.intrә'vi:nәs,a. within or by means of a vein,"a. 静脉内的
[医] 静脉内的",,"Finally, on the fourth day, I gave heran intravenous injection of sodium amytal.",1,0,10864,12812
introspection,.intrәu'spekʃәn,n. the contemplation of your own thoughts and desires and conduct,"n. 内省, 反省
[医] 内省",,However I didneglect to specify that a small minority of people-perhaps five percent-have psychiatric problems of anature that does not respond to psychotherapy and thatmay even be made worse by the deep introspectioninvolved.,0,0,18803,17911
intuit,in'tjuit,v. know or grasp by intuition or feeling,v. 由直觉知道,,"Tothe contrary, they seem to understand intuitively that a vitalelement of the capacity to truly listen is being on the alert forthose lapses when one is not truly listening, and my acknowl-edgment that my attention has wandered actually reassuresthem that most of the time I am truly listening.",0,0,46558,29324
intuitive,in'tju:itiv,"s. spontaneously derived from or prompted by a natural tendency
s. obtained through intuition rather than from reasoning or observation",a. 直觉的,gre,"Tothe contrary, they seem to understand intuitively that a vitalelement of the capacity to truly listen is being on the alert forthose lapses when one is not truly listening, and my acknowl-edgment that my attention has wandered actually reassuresthem that most of the time I am truly listening.",1,0,8759,9109
intuitively,,r. in an intuitive manner,[计] 直觉地,,"Tothe contrary, they seem to understand intuitively that a vitalelement of the capacity to truly listen is being on the alert forthose lapses when one is not truly listening, and my acknowl-edgment that my attention has wandered actually reassuresthem that most of the time I am truly listening.",0,0,14665,14914
involvement,in'vɔlvmәnt,n. a connection of inclusion or containment,"n. 卷入, 牵连, 包含, 困窘
[经] 财政困难, 经济上的困窘",,Yet changed they must be if one is to lead a life ofloving involving frequent extensions of oneself into new di-mensions and territories of involvement.,3,1,2139,2311
irrational,i'ræʃәnәl,"a. not consistent with or using reason
a. real but not expressible as the quotient of two integers","n. 无理数
a. 无理性的, 不合理的",,"Her principal complaints abouthim were that he was continually and irrationally jealousof her, and yet at the same time aloof from her, cold,distant, uncommunicative and unaffectionate.",1,0,8527,8231
irrationally,ɪ'ræʃnəlɪ,r. in an irrational manner,"adv. 不合理地, 无理性地",,"Her principal complaints abouthim were that he was continually and irrationally jealousof her, and yet at the same time aloof from her, cold,distant, uncommunicative and unaffectionate.",0,0,32786,25487
irretrievably,ˌɪrɪ'tri:vəblɪ,r. in an irretrievable manner,"adv. 不能挽回地, 不能补救地",,"Why do a majority develop a capacity todelaygratification while a substantial minority fail, oftenirretrievably-, to develop this capacity.",0,0,21603,26591
irritation,.iri'teiʃәn,"n. the psychological state of being irritated or annoyed
n. (pathology) abnormal sensitivity to stimulation","n. 刺激, 烦恼, 刺激物
[医] 刺激[作用], 兴奋",gre,,2,0,7007,9155
joyfully,,r in a joyous and gleeful manner,"adv. 高兴地, 喜悦地",,"This is what Paul Tillich meant when hereferred to the ""god beyond God"" and why somesophisticated Christians used to proclaim joyfully, ""God isdead.",0,0,20925,21245
joyless,'dʒɒilis,a. not experiencing or inspiring joy,"a. 不高兴的, 不快乐的",,"While she could not put herfinger on anything wrong with her existence, she foundit inexplicably joyless.",0,0,33226,27797
joyously,,r in a joyous and gleeful manner,adv. 快乐地,,"To be organized and efficient, to live wisely, we mustdaily delay gratification and keep an eye on the future; yet tolive joyously we must also possess the capacity, when it isnot destructive, to live in the present and act spontaneously.",0,0,32838,26074
judgment,'dʒʌdʒmәnt,"n. an opinion formed by judging something
n. the act of judging or assessing a person or situation or event
n. (law) the determination by a court of competent jurisdiction on matters submitted to it
n. the cognitive process of reaching a decision or drawing conclusions","n. 裁判, 宣告, 判决书
[医] 判断",,"Dealing so directly withthe growth process, they more than anyone else are calledupon to make judgments as to the healthiness of anindividual's belief system.",3,0,2317,1900
Julian,'dʒu:ljәn,"n. Roman Emperor and nephew of Constantine; he restored paganism as the official religion of the Roman Empire and destroyed Christian temples but his decision was reversed after his death (331?-363)
a. of or relating to or characteristic of Julius Caesar",a. 尤利乌斯恺撒的,,"Ira Progoff (New York:Julian Press, 1969), p.",0,0,5692,0
jungian,'jjŋiәn,"n. a follower or advocate of Carl Jung's theories
a. of or relating to Carl Jung or his psychological theories",n. 支持荣格的人；研究荣格学说的人,,,0,0,39380,24519
justifiably,dʒʌstɪ'faɪəblɪ,r. with good reason,adv. 无可非议地,,"Onecould justifiably say that the mother's domineering nature,abetted by an absentee father, was the more basic cause ofthe neurosis, and in this respect too Kathy's case was typical.",0,0,14134,17609
kindly,'kaindli,"s. pleasant and agreeable
r. in a kind manner or out of kindness","a. 和蔼的, 温和的, 爽快的
adv. 温和地, 亲切地",,"This too you can often sense quickly,although the therapist should not fall all over you withkindly reassurances and snap commitments.",2,1,5999,10654
kingship,'kiŋʃip,n. the dignity or rank or position of a king,"n. 君主身分, 王位, 王权
[法] 王权, 帝王统治, 君王的身分",,"This capacityresides in a position, such as a kingship or presidency,or else in money.",0,0,16944,22571
kitten,'kitn,"n. young domestic cat
v. have kittens","n. 小猫, 淘气姑娘
vt. 产仔, 卖弄风情",,,1,0,10473,9944
lamely,'leimli,r. in a weak and unconvincing manner,"adv. 一瘸一拐地, 不完全地",,,0,0,24736,24944
latch,lætʃ,"n. spring-loaded doorlock that can only be opened from the outside with a key
n. catch for fastening a door or gate; a bar that can be lowered or slid into a groove
v. fasten with a latch","n. 门闩
vi. 上闩, 抓住, 占有
vt. 闩上
[计] 门闩线路; 锁存器",gre,And then it became clear to me that there was alittle latch preventing the brake from being released.,1,0,14085,11948
lateness,'leitnis,n. quality of coming late or later in time,"n. 迟, 晚",,"She firmlydenied that this was a possibility, explaining that her latenesswas purely a matter of this or that accidental force in life andproclaiming her wholehearted appreciation of me and moti-vation for our work together.",0,0,20760,28323
laziness,'leizinis,n. relaxed and easy activity,"n. 怠惰, 无精打采",,"When we extend ourselves, when we take an extrastep or walk an extra mile, we do so in opposition to theinertia of laziness or the resistance of fear.",0,0,19228,19182
leaning,'li:niŋ,"n. an inclination to do something
n. the act of deviating from a vertical position","n. 倾斜, 倾向, 爱好",,"But more important than your therapist's politicalleanings, age or sex is whether he or she is a genuinelycaring person.",0,0,18634,18179
lecturer,'lektʃәrә,n. someone who lectures professionally,"n. 演讲者, 讲师
[法] 讲演人, 讲课人, 讲师",,Because of myinterest I had a certain amount of expertise in the subjectand immediately recognized the lecturer to be a great sageindeed.,2,0,4493,10335
legitimacy,li'dʒitimәsi,n. lawfulness by virtue of being authorized or in accordance with law,"n. 合法, 正统, 正当
[法] 合法性, 正统性, 婚生",,"One of the mostfrequent rationalizations for ignoring it is to question itslegitimacy by saying, ""I'm afraid that psychotherapywould get to be aOpenness to Challenge 67crutch.",0,0,7362,5759
lesser,'lesә,"a. of less size or importance
s. smaller in size or amount or value","a. 较少的, 较小的, 次要的",,"Fearing the pain involved, al-most all of us, to a greater or lesser degree, attempt to avoidproblems.",2,0,3789,5127
leveling,'levәliŋ,"n changing the ground level to a smooth horizontal or gently sloping surface
n complete destruction of a building
n the act of making equal or uniform
v aim at
v tear down so as to make flat with the ground
v make level or straight
v direct into a position for use
v talk frankly with; lay it on the line
v become level or even",n. 水准测量,,"Parents, spouses and people in various otherThe Risk of Confrontation 151roles do this routinely and casually, leveling criticism left andright, shooting from the hip.",0,0,0,28464
lifelong,'laiflɒŋ,s. continuing through life,"a. 终身的, 毕生的",,"The other assumption is that this process is a complex,arduous and lifelong task.",1,0,9865,5720
liken,'laikәn,"v consider or describe as similar, equal, or analogous","vt. 比喻, 比拟",gre,"They liken this symptom to looking down atunnel, being able to see only a small circle of light andclarity at the end.",1,0,11367,9141
livingston,'liviŋstən,n. American Revolutionary leader who served in the Continental Congress and as minister to France (1746-1813),n. 利文斯顿（美国新泽西州东北部城镇）,,,0,0,17360,0
lobe,lәub,"n. (anatomy) a somewhat rounded subdivision of a bodily organ or part
n. (botany) a part into which a leaf is divided
n. the enhanced response of an antenna in a given direction as indicated by a loop in its radiation pattern
n. a rounded projection that is part of a larger structure","n. 叶, 耳垂, 裂片
[医] 叶",gre,,1,0,12532,11517
localize,'lәjkәlaiz,"v. concentrate on a particular place or spot
v. restrict something to a particular area","vt.vi. 使地方化, 使具有地方性, 使限制于局部, 确定起源, 集中, 局限
[计] 局部化, 定位, 定域",,Resistance to mental disorders or physicaldisease we can imagine being localized within theunconscious mind or bodily processes of the individual.,0,0,26135,18618
logically,'lɔdʒikәli,"r. according to logical reasoning
r. in a logical manner","adv. 逻辑, 合乎逻辑, 符合逻辑, 逻辑上, 有逻辑, 有逻辑头脑, 合理, 明智",,"So it is that these children, abandoned eitherpsychologically or in actuality, enter adulthood lacking anydeep sense that the world is a safe and protective place.",0,0,7689,11464
loiter,'lɒitә,v. be about,"v. 闲荡, 虚度, 徘徊",gre,,0,0,20520,20984
loneliness,'lәunlinis,n. the state of being alone in solitary isolation,"n. 寂寞, 孤独, 清静",,"Problems, dependingupon their nature, evoke in us frustration or grief or sadnessor loneliness or guilt or regret or anger or fear or anxiety oranguish or despair.",0,0,7735,7051
lookout,'lukaut,"n. a person employed to keep watch for some anticipated event
n. an elevated post affording a wide view
n. a structure commanding a wide view of its surroundings
n. the act of looking out","n. 注意, 前途, 了望台, 景色
[法] 看守, 守望",,"Sooner or later in the course ofpsychotherapy most therapists will come to recognize how apatient views the world, but if the therapist is specifically onthe lookout for it, he or she will come to this recognitionsooner rather than later.",1,0,14006,10483
lovable,'lʌvәbl,a. having characteristics that attract love or affection,"a. 可爱的, 惹人爱的",,Thus the child who isnot loved by his parents will always assume himself orherself to be unlovable rather than see the parents asdeficient in their capacity to love.,1,0,18566,15271
loveless,'lʌvlis,"s. without love
s. receiving no love","a. 无爱情的, 不可爱的",,"The reader will remember that the secondsection of this book concluded with four questions aboutlove, two of which we are now considering: why somepeople fail to respond to treatment by the best and mostloving therapists, and why some people transcend themost loveless childhoods, with or without the help ofpsychotherapy, to become themselves loving persons.",0,0,24590,27458
lovingly,'lʌviŋli,r with fondness; with love,"adv. 钟爱地, 亲切地",,"To the contrary, real love often occurs in a context in whichthe feeling of love is lacking, when we act lovingly despitethe fact that we don't feel loving.",0,0,11745,12151
lovingness,'lʌviŋnis,n. a loving feeling,"n. 爱, 有爱情, 钟情",,But it is to say that the feeling of ecstatic87 LOVElovingness that characterizes the experience of falling inlove always passes.,0,0,0,0
Lutheran,'lu:θәrәn,"n. follower of Lutheranism
a. of or pertaining to Martin Luther or his teachings
a. of or pertaining to or characteristic of the branch of the Protestant Church adhering to the views of Luther","a. 路德教会的
n. 路德教会",,"I could equally well have said theBaptist Church, Lutheran Church, Presbyterian Church, orany other.",0,0,17209,8739
machiavellian,.mækiә'veliәn,"n. a follower of Machiavelli's principles
a. of or relating to Machiavelli or the principles of conduct he recommended","a. 马基雅弗利的, 狡猾的
n. 权谋政治家",,,0,0,33197,0
macrocosm,'mækrәukɒzәm,n everything that exists anywhere,"n. 大宇宙, 大世界, 全域, 整体",,It is the problemof the microcosm and the macrocosm.,0,0,45046,37049
Madonna,mә'dɒnә,n. United States pop singer and sex symbol during the 1980s (born in 1958),"n. 圣母玛利亚, 圣母像",,,1,0,7352,0
maelstrom,'meilstrәm,n a powerful circular current of water (usually the result of conflicting tides),"n. 大漩涡, 极度混乱",gre,"All oflife seemed a maelstrom of death and suffering, danger andsavagery.",0,0,20136,19331
maggot,'mægәt,n. the larva of the housefly and blowfly commonly found in decaying organic matter,"n. 狂想, 空想, 蛆
[医] 蛆",,We cannot answer these questions in the samescientific way we can answer where flour or steel ormaggots come from.,2,0,10738,17460
magically,,r. in a magical manner,adv. 用魔法地；如魔法般地,,"I had no idea how psychiatrists helped people,except for the fantasy that psychiatrists were the possessorsof magical words and magical techniques of interacting withpatients which would magically unscramble the knots of thepsyche.",0,0,19191,13232
magnanimously,mæg'næniməsli,r. in a magnanimous manner,"adv. 大度宽宏地, 度量大地；高尚地",,"Ultimately she can evenhave the sadistic pleasure of seeing her husband beg andplead to return, and momentarily acknowledge hersuperiority from his hum-bled position, while she decideswhether or not to magnanimously take him back.",0,0,44595,36453
maladjustment,.mælә'dʒʌstmәnt,n. the condition of being unable to adapt properly to your environment with resulting emotional instability,"n. 失调, 欠整理, 不适应
[医] 适应不良",,,0,0,43000,26141
maliciously,,r. with malice; in a malicious manner,"adv. 有敌意地, 恶意地",,"She was not doing this consciously ormaliciously; on an emotional level she could not, in fact,perceive Susan as having an identity separate from her own.",0,0,20627,26280
manicure,'mænikjuә,"n. professional care for the hands and fingernails
v. trim carefully and neatly
v. care for (one's hand) by cutting and shaping the nails, etc.","n. 修指甲术, 修指甲, 修指甲师
vt. 修指甲, 修剪",,"Their parents generallydo in fact fail to appreciate the unique individuality of theirchildren, and instead regard their children as extensions ofthemselves, in much the same way as their fine clothes andtheir neatly manicured lawns and their polished cars are ex-tensions of themselves which represent their status to theworld.",1,0,34443,16247
manipulation,mә.nipju'leiʃәn,n. exerting shrewd or devious influence especially for one's own advantage,"n. 操作, 处理
[化] (用手)操作; 使用",,"My patient's mother was anangry, violent woman who dominated the household with hertemper tantrums and manipulations and not infrequently beather husband physically in front of the daughter.",0,0,5744,5754
manipulative,mә'nipjulәtiv,s. skillful in influencing or controlling others to your own advantage,"a. 处理的, 巧妙处理的, 操纵的",gre,"It is no wonder, then, thatthey feel the need to scramble for love, care and attentionwherever they can find it, and once having found it, cling to itwith a desperation that leads them to unloving, manipulative,Machiavellian behavior that destroys the very relationshipsthey seek to preserve.",1,0,14928,13975
marcia,'mɑ:sjә,,n. 玛西亚（拉丁女战神）,,,0,0,26703,0
marijuana,.mæriju'ɑ:nә,n. a strong-smelling plant from whose dried leaves a number of euphoriant and hallucinogenic drugs are prepared,"n. 大麻
[医] 大麻",,,1,0,20224,4996
marketplace,'mɑ:kit'pleis,n. an area in a town where a public mercantile establishment is set up,n. 市场,,"Betsy's anxiety attacks were clearly a form ofagoraphobia (literally, fear of the marketplace, butusually fear of open spaces), and for her represented afear of freedom.",1,0,10395,4490
Martin,'mɑ:tin,"n. French bishop who is a patron saint of France (died in 397)
n. United States actor and comedian (born in 1945)
n. United States actress (1913-1990)","n. 马丁, 圣马丁鸟",,,0,0,1756,0
martyrdom,'mɑ:tәdәm,n. death that is imposed because of the person's adherence of a religious faith or cause,"n. 殉教, 殉难, 殉节",,"And, as in all other instances of love, itwould be incorrect to view the suffering and changinginvolved in good parenting as some kind of self-sacrifice ormartyrdom; to the contrary, parents have more to gain fromthe process than1;8 LOVEtheir children.",0,0,19548,14662
masochism,'mæzәkizm,n. sexual pleasure obtained from receiving punishment (physical or psychological),"n. 被虐待狂, 受虐狂
[医] 受虐狂",,The minister's misguided love bordered on the more seriousperversion of love that is masochism.,1,0,24949,27121
masochist,'mæzәkist,n. someone who obtains pleasure from receiving punishment,"n. 被虐待狂, 受虐待者
[医] 受虐狂者",,"By virtue ofthis belief the prototypical masochist was enabled to see hertolerance of mistreatment as self-sacrifice and hence as love,and therefore did not have to acknowledge her hatred.",0,0,33573,28740
massively,,r. to a massive degree or in a massive manner,"adv. 大而重, 厚实, 粗大, 强有力, 结实, 魁伟, 大块, 大量, 大规模, 实心, 块状
[计] 大规模地",,"If in ourlaziness and fear of suffering we massively defend ourawareness, then it will come to pass that ourunderstanding of the world will bear little or no relationto reality.",0,0,11778,16584
masterful,'mɑ:stәful,s having or revealing supreme mastery or skill,"a. 傲慢的, 主人派头的, 熟练的",,"It is also yes because the unceasingpractice of discipline leads to mastery, and the spirituallyevolved person is masterful in the same sense that the adultis masterful in relation to the child.",0,0,19934,15088
masterly,'mɑ:stәli,s having or revealing supreme mastery or skill,"a. 巧妙的, 熟练的
adv. 巧妙地, 熟练地",,A Touchstone Book Published by Simon & Schuster New York • London •Toronto • SydneyIntroduction to the 25th Anniversary EditionTomorrow a stranger will say with masterly good sense precisely whatwe have thought and felt all the time.,0,0,19660,27520
masturbate,'mæstәbeit,"v. stimulate sexually
v. get sexual gratification through self-stimulation",v. 手淫,,One afternoon she found herself starting to masturbate.,1,0,25020,17500
masturbation,",mæstә'beiʃәn",n. manual stimulation of the genital organs (of yourself or another) for sexual pleasure,[医] 手淫,,"Nonetheless the experience of sexual intercourse, andparticularly of orgasm (even in masturbation), is anexperience also associated with a greater or lesser degree ofcollapse of ego boundaries and attendant ecstasy.",0,0,16709,15272
matricide,'meitrisaid,"n. a person who murders their mother
n. the murder of your mother","n. 杀母
[法] 杀母罪, 杀母的",,Yet the greatest sin a Greek could commit wasthe sin of matricide.,0,0,0,44634
mawkish,'mɒ:kiʃ,s effusively or insincerely emotional,"a. 淡而无味的, 令人作呕的, 感伤的",gre,,0,0,35860,36363
meaningless,'mi:niŋlis,a. having no meaning or direction or purpose,a. 无意义的,,Butthis discipline is meaningless.,1,0,6897,7995
mediately,,"adv. In a mediate manner; by a secondary cause or agent;
   not directly or primarily; by means; -- opposed to immediately."," 在中间, 间接",,At other times it ismore to our benefit to express it immediately andspontaneously.,0,0,0,0
meekness,'mi:knis,"n. the feeling of patient, submissive humbleness
n. a disposition to be patient and long suffering","n. 温顺, 柔和",,"This self-scrutiny, as objective as possible, is theessence of humility or meekness.",0,0,36481,39327
mellow,'melәu,"v. soften, make mellow
v. become more relaxed, easygoing, or genial
v. make or grow (more) mellow
s. having a full and pleasing flavor through proper aging","a. 成熟的, 醇的, 熟练的",,,1,0,14871,13523
meningitis,.menin'dʒaitis,n. infectious disease characterized by inflammation of the meninges (the tissues that surround the brain or spinal cord) usually caused by a bacterial infection; symptoms include headache and stiff neck and fever and nausea,"n. 脑膜炎
[医] 脑[脊]膜炎",,"Yet no one in mylittle village has suffered from meningococcal meningitisfor many years, nor is likely to do so this winter.",1,0,16907,16920
meningococcal,mɪ'nɪŋgəʊsi:l,, 脑膜炎球菌的,,"Yet no one in mylittle village has suffered from meningococcal meningitisfor many years, nor is likely to do so this winter.",0,0,0,36848
meningococcus,"mә,niŋ^әu'kɔkәs",,n. [微]脑膜炎球菌,,"Physicians use the concept of resistance toexplain this phenomenon, postulating that the body pos-sesses a set of defenses that resist invasion of the bodycavities by meningococcus as well as a whole host ofother ubiquitous disease-producing organisms.",0,0,0,0
menopause,'menәupɒ:z,n. the time in a woman's life in which the menstrual cycle ends,"n. 绝经期
[医] 绝经",,,1,0,15771,10584
microcosmic,.maikrәu'kɒzmik,a. relating to or characteristic of a microcosm,"a. 小宇宙的, 小世界的, 微观的",,"In the short run it is morecomfortable not to do this-to stay where we are, to keepusing the same microcosmic map, to avoid suffering thedeath of cherished, Aggression, and War, American Association forSocial Psychiatry, Nov.",0,0,49119,38805
midwestern,'mid'westәn,s. of a region of the United States generally including Ohio; Indiana; Illinois; Iowa; Missouri; Kansas; Nebraska; and sometimes Michigan; Wisconsin; Minnesota,a. 美国中西部的,,,0,0,40499,9038
mildly,'maildli,r. to a moderate degree,"adv. 柔和地, 和善地, 适度地",,"Or, putting itmore mildly, is it possible to spiritually evolve to a level ofconsciousness at which the pain of living is at least dimin-ished?",0,0,7572,8445
mildness,'maildnis,n. good weather with comfortable temperatures,"n. 温和, 温暖",,,0,0,35513,34518
minaret,.minә'ret,n. slender tower with balconies,n. 光塔,gre,It was of this path that the Sufi Aba Said ibn Abi-l-Khairwas speaking more than nine hundred years ago when hesaid:Until college and minaret have crumbledThis holy work of ours will not be done.,0,0,26535,22657
Minnesota,.mini'sәutә,n. a midwestern state,n. 明尼苏达州,,"Several months after he entered treatment Stewart re-counted the following brief dream: ""It was back in my child-hood home in Minnesota.",0,0,16718,0
miraculously,,r. in a miraculous manner,"adv. 超自然, 非凡, 不可思议, 令人惊叹, 象奇迹一样, 奇迹般, 能创造奇迹",,"For I have learnedthat in the earlier stages of the psychotherapeutic pro-306 GRACEcess I have absolutely no ability to predict which of mypatients will fail to respond to therapy, which willrespond with significant but still partial growth, andwhich will, miraculously, grow all the way to the state ofgrace.",0,0,11785,11686
misapplication,'mis.æpli'keiʃәn,n. wrong use or application,"n. 误用, 滥用
[化] 不正确使用",,"There was never anyevidence of concern on the part of the church that its doctrinemight be over taught, unrealistically rigid or subject to misuseand misapplication.",0,0,47275,36127
mischievous,'mistʃivәs,s. deliberately causing harm or damage,"a. 淘气的, 有害的, 恶作剧的, 胡搅的",gre,"Freud's use of the word ""psychopathology"" to describe thesephenomenon is again indicative of his negative orientationtoward the unconscious; he perceived it as acting a spitefulrole or at least a mischievous devil trying to trip us up ratherthan seeing it as a kind of good fairy working very hard tomake us honest.",1,0,11564,13916
misdiagnosis,"'mis,daiә^'nәjsis",,[医] 误诊,,,0,0,0,28857
miserably,'mizәrәbli,r. in a miserable manner,"adv. 非常不幸地, 可悲地, 贫困地",,The only problemwas that almost immediately after starting Exeter Ibecame miserably unhappy.,0,0,11954,14018
misguide,mis'gaid,"v lead someone in the wrong direction or give someone wrong directions
v give bad advice to",vt. 误导,,"For some parents thedesire to ""protect"" their children is motivated bygenuine albeit misguided love.",0,0,0,0
misperception,mɪspə'sepʃn,n. Erroneous perception., 错误知觉,,"The less clearly we see the realityof the world-the more our minds are befuddled by false-hood,misperceptions and illusions-the less able we will be todetermine correct courses of action and make wise decisions.",0,0,44581,18161
misread,mis'ri:d,"v. read or interpret wrongly
v. interpret wrongly","vt. 读错, 看错",,"Should it come to pass,however, that we do not satisfy or meet all of each other'sneeds and friction arises and we fall out of love, then it isclear that a dreadful mistake was made, we misread thestars, we did not hook up with our one and only perfectmatch, what we thought was love was not real or ""true"" love,and nothing can be done about the situation except to liveunhappily ever after or get divorced.",0,0,18481,15822
mistakenly,mɪ'steɪkənlɪ,r. in a mistaken manner,"adv. 错误地, 被误解地",,,0,0,13695,11081
mistreat,.mis'tri:t,v. treat badly,"vt. 虐待
[法] 虐待, 苛待",,Couldit be that the most important thing in the woman's life is tohave a sense of moral superiority and that in order tomaintain this sense she needs to be mistreated?,0,0,21862,14559
mistreatment,,n. the practice of treating (someone or something) badly,n. 虐待,,"She will regale thepsychiatrist with an endless tale of repeated mistreatmentby her husband: he paid her no attention, he had a string ofmistresses, he gambled away the food money, he wentaway for days at a time whenever he pleased, he camehome drunk and beat her, and now, finally, he's desertedher and the children on Christmas Eve-Christmas Eve yet!",0,0,35158,17344
momentarily,'mәumәntәrili,"r. for an instant or moment
r. at any moment","adv. 暂时地, 立刻, 随时地",,"Ultimately she can evenhave the sadistic pleasure of seeing her husband beg andplead to return, and momentarily acknowledge hersuperiority from his hum-bled position, while she decideswhether or not to magnanimously take him back.",0,0,7976,8468
monastery,'mɒnәstәri,n. the residence of a religious community,"n. 修道院, 僧侣",gre,,1,0,6031,8072
monolithic,.mɒnәu'liθik,s. characterized by massiveness and rigidity and total uniformity,"a. 独石的, 完全统一的, 整体的
[化] 整体(铸,烧结)的; 龟甲网衬里; 单片; 单块",gre,"As I mentioned at the beginning of thissection, there is no single, monolithic religion.",0,0,15247,14354
monumental,.mɒnju'mentәl,"a. relating or belonging to or serving as a monument
s. of outstanding significance","a. 纪念碑的, 做为纪念的, 不朽的",gre,"InThe Problem of Evil 277some of us our healthy self seems pathetically small,wholly dominatedbyjthe laziness and fearfulness of ourmonumental sick self.",1,0,9660,8275
morose,mә'rәus,s showing a brooding ill humor,"a. 郁闷的, 孤僻的",gre,"I have a brilliant but morose acquaintance who, when Iallow him to, will speak unceasingly and eloquently of theoppressive forces in our society: racism, sexism, themilitary-industrial establishment, and the country policewho pick on him and his friends because of their long hair.",0,0,19684,21545
motherhood,'mʌðәhud,n. the kinship relation between an offspring and the mother,"n. 母道, 母性, 母亲们",,"They may be ideal mothers until their children reach the ageof two-infinitely tender, joyously breast-feeding, cuddlingand playing with their babies, consistently affectionate,totally dedicated to their nurture, and blissfully happy intheir motherhood.",1,0,12310,9200
mucilage,'mju:silidʒ,n. a gelatinous substance secreted by plants,"n. 粘质物, 粘液, 胶水
[医] 胶浆, 粘浆(植物的); 胶水",,,0,0,0,43804
multiplicity,.mʌlti'plisiti,n. the property of being multiple,"n. 相重性, 多重性, 多样
[化] 多重态; 多重性",gre,"We see a bewilderingmultiplicity of rituals and images without consensus: this godis a woman with six arms and six legs; that is a man who sitson a throne; this one is an elephant; that one the essence ofnothingness; pantheons, household gods, trinities, unities.",0,0,12154,14352
murky,'mә:ki,s. dark or gloomy,"a. 黝暗的, 阴沉的, 朦胧的",gre,"Because this whole area is so murky and ambiguous, it isall the more important that we approach it with healthyskepticism lest we mislead ourselves and others.",1,0,11317,9073
Muslim,'mjzlim; (?@) 'mʌzlem,"n. a believer in or follower of Islam
a. of or relating to or supporting Islamism","n. 伊斯兰教, 伊斯兰教教徒",,"Until faith becomes rejection, and rejection becomesbelief There will be no true Muslim.",4,0,6234,2592
mutually,'mju:tʃuәli,r. in a mutual or shared manner,"adv. 互相地, 互助",,"Tothe contrary, it is essential for the therapist to love a patientfor the therapy to be successful,Love and Psychotherapy 175and if the therapy does become successful, then thetherapeutic relationship will become a mutually lovingone.",0,0,7674,7987
mystical,'mistikl,"a relating to or characteristic of mysticism
a relating to or resembling mysticism
s having an import not apparent to the senses nor obvious to the intelligence; beyond ordinary understanding","a. 神秘的, 奥秘的",,"I was convinced I was deficient in some gene, or bycurse of nature lacking some mystical quality responsiblefor mechanical ability.",1,0,8924,8509
mysticism,'mistisizm,"n. a religion based on mystical communion with an ultimate reality
n. obscure or irrational thought","n. 神秘, 神秘教, 模糊思想",,,0,0,15694,16690
mystic,'mistik,"n. someone who believes in the existence of realities beyond human comprehension
a. relating to or resembling mysticism
a. relating to or characteristic of mysticism","a. 神秘的, 奥秘的
n. 神秘主义者",gre,"Themost literal of mystics believe that our common perception ofthe universe as containing multitudes of discrete objects-stars, planets, trees, birds, houses, ourselves-all separatedfrom one an-other by boundaries is a misperception, anillusion.",1,0,13113,14288
naively,,r. in a naive manner,adv. 无邪地；天真烂漫地,,Thereader may naively suppose that I will recommend toparents that they should always follow the fifth way andalways truly listen to their children.,0,0,20098,19294
narcissism,nɑ:'sisizm,n an exceptional interest in and admiration for yourself,"n. 自我陶醉, 自恋
[医] 自爱欲, 恋已癖",gre,Love Is Separateness 161In its most extreme form the failure to perceive the sepa-rateness of the other is called narcissism.,0,0,23152,18480
narcissistic,",nɑ:si'sistik",s characteristic of those having an inflated idea of their own importance,"a. 自我陶醉的, 自恋的
[医] 自爱欲的",,"Frankly narcissisticindividuals are actually unable to perceive their children,spouses or friends as being separate from themselves on anemotional level.",0,0,25361,17882
narrowly,'nærәuli,r. in a narrow manner; not allowing for exceptions,"adv. 狭窄地, 严密地, 仔细地, 几乎不, 勉强地, 仅仅",,"We suffer, I believe, from a tendency to define religiontoo narrowly.",0,0,6884,8064
Nazism,"'nɑ:tsizәm, 'næt-",n. a form of socialism featuring racism and expansionism and obedience to a strong leader,n. 纳粹主义,,It is for thisreason that Erich Fromm so aptly titled his study of Nazismand authoritarianism Escape from Freedom.,0,0,23216,16387
nearness,'niәnis,n. the spatial property resulting from a relatively small distance,n. 接近；密切；近似,,"Tobe aware of grace, to personally experience its constantpresence, to know one's nearness to God, is to know andcontinually experience an inner tranquility and peacethat few possess.",0,0,20214,25477
neatly,'ni:tli,r. with neatness,"adv. 整洁地, 干净地, 匀称地",,A neatly coiffured womanwho had been seeing me for some time began to comb herhair each time she got up from the couch at the end of asession.,0,1,4706,5788
neatness,'ni:tnis,n. the state of being neat and smart and trim,"n. 整洁, 干净",,Thus far I have been talkingabout minor forms of giving up-giving up speed or theluxury of spontaneous anger or the safety of withheld angeror the neatness of a thank-you note.,0,0,21044,24919
